id,rating,title,content,author,date,helpful,votes,verified_purchase
1,5,"음질이 기대 이상입니다","저음이 과하지 않고 보컬이 선명해서 출퇴근길에 듣기 좋습니다. 기본 EQ만으로도 충분히 만족스럽습니다.","김민준","2026-01-05",42,47,true
2,4,"노이즈 캔슬링이 꽤 좋아요","지하철 소음은 많이 줄어들지만 안내 방송은 살짝 들립니다. 안전하게 쓰기에는 오히려 괜찮았습니다.","이서연","2026-01-06",31,36,true
3,5,"착용감이 편합니다","귀가 작은 편인데 오래 착용해도 압박감이 적었습니다. 실리콘 팁 선택지가 많은 점도 마음에 듭니다.","박지훈","2026-01-07",28,30,true
4,3,"통화 품질은 평범합니다","실내 통화는 괜찮지만 바람이 부는 야외에서는 목소리가 조금 먹먹하게 전달됩니다.","최하은","2026-01-08",14,19,true
5,5,"배터리가 오래갑니다","아침에 충전해서 하루 종일 음악과 회의에 사용해도 여유가 있었습니다.","정우진","2026-01-09",39,41,true
6,4,"케이스가 작아서 좋아요","주머니에 넣어도 크게 튀어나오지 않고 자석도 단단합니다. 다만 표면에 지문이 조금 남습니다.","한유나","2026-01-10",21,24,true
7,2,"가격 대비 아쉬운 부분이 있어요","음질은 좋지만 앱 연결이 가끔 끊겨서 프리미엄 제품이라는 느낌은 덜했습니다.","오준서","2026-01-11",18,29,true
8,5,"공간 음향이 자연스럽습니다","영화 볼 때 방향감이 과하지 않아서 몰입감이 좋았습니다. 머리 추적도 안정적입니다.","문가영","2026-01-12",25,27,true
9,4,"앱 설정이 직관적입니다","EQ와 터치 제어를 바꾸기 쉬웠습니다. 처음 쓰는 사람도 금방 익숙해질 것 같습니다.","강도윤","2026-01-13",16,17,true
10,5,"운동할 때도 잘 고정됩니다","러닝머신에서 뛰어도 빠지지 않았고 땀이 나도 불편하지 않았습니다.","신지아","2026-01-14",33,35,true
11,4,"고음이 깔끔합니다","현악기와 여성 보컬이 맑게 들립니다. 저음 취향이면 EQ를 조금 올리면 됩니다.","윤서준","2026-01-15",12,14,true
12,5,"선물용으로 만족","포장도 깔끔하고 첫 페어링이 빨라서 부모님도 쉽게 사용하셨습니다.","배수빈","2026-01-16",19,20,true
13,3,"터치 조작이 민감합니다","재생 정지는 잘 되지만 머리카락이 닿을 때 가끔 입력되는 느낌이 있습니다.","임태현","2026-01-17",11,15,true
14,5,"회의용으로도 훌륭해요","노트북 전환이 빠르고 마이크가 실내에서는 또렷하게 잡힙니다. 화상회의가 편해졌습니다.","서예린","2026-01-18",36,38,true
15,4,"저음이 단단합니다","베이스가 울리기만 하는 느낌이 아니라 탄탄하게 받쳐줍니다. 힙합 듣기에 좋았습니다.","장현우","2026-01-19",22,25,true
16,1,"초기 불량을 받았습니다","왼쪽 유닛이 충전되지 않아 교환 신청했습니다. 교환 후 제품은 정상이라 아쉬움이 남습니다.","권나연","2026-01-20",7,21,true
17,5,"페어링이 정말 빠릅니다","케이스를 열면 바로 연결되고 기기 전환도 매끄럽습니다. 스트레스가 줄었습니다.","조민성","2026-01-21",27,29,true
18,4,"디자인이 고급스럽습니다","무광 마감이라 깔끔하고 이어버드 모양도 튀지 않습니다. 케이스 흠집은 조심해야 합니다.","송하린","2026-01-22",15,16,true
19,5,"ANC 켜면 카페 소음이 줄어요","카페에서 공부할 때 주변 대화가 많이 낮아져 집중하기 좋았습니다.","남지우","2026-01-23",41,45,true
20,3,"귀에 따라 호불호가 있을 듯","저는 오른쪽 귀가 조금 눌렸습니다. 팁을 바꾸니 나아졌지만 완벽하진 않았습니다.","유다인","2026-01-24",9,13,true
21,5,"전체 밸런스가 좋습니다","어느 장르를 들어도 크게 거슬리는 부분이 없습니다. 데일리 이어폰으로 추천합니다.","홍서윤","2026-01-25",30,32,true
22,4,"무선 충전 편합니다","충전 패드에 올려두면 알아서 충전돼서 편합니다. 발열도 심하지 않았습니다.","안도현","2026-01-26",13,15,true
23,2,"앱 업데이트 후 연결 문제가 있었어요","업데이트 뒤 하루 정도 연결이 불안정했습니다. 재설정하니 해결됐지만 번거로웠습니다.","백지호","2026-01-27",17,26,true
24,5,"작은 소리도 잘 들립니다","팟캐스트와 클래식에서 세밀한 소리가 잘 살아납니다. 볼륨을 크게 안 올려도 됩니다.","전소미","2026-01-28",24,25,true
25,4,"외부음 듣기 모드가 자연스러워요","편의점이나 사무실에서 이어폰을 빼지 않아도 대화가 가능합니다.","고은채","2026-01-29",20,22,true
26,5,"배송받고 바로 만족했습니다","충전도 되어 있었고 초기 설정이 쉬웠습니다. 첫인상이 아주 좋았습니다.","류시우","2026-01-30",10,11,true
